State,ClimDiv State Id,County Name,FIPS County
Alabama,1,Autauga,1
Alabama,1,Baldwin,3
Alabama,1,Barbour,5
Alabama,1,Bibb,7
Alabama,1,Blount,9
Alabama,1,Bullock,11
Alabama,1,Butler,13
Alabama,1,Calhoun,15
Alabama,1,Chambers,17
Alabama,1,Cherokee,19
Alabama,1,Chilton,21
Alabama,1,Choctaw,23
Alabama,1,Clarke,25
Alabama,1,Clay,27
Alabama,1,Cleburne,29
Alabama,1,Coffee,31
Alabama,1,Colbert,33
Alabama,1,Conecuh,35
Alabama,1,Coosa,37
Alabama,1,Covington,39
Alabama,1,Crenshaw,41
Alabama,1,Cullman,43
Alabama,1,Dale,45
Alabama,1,Dallas,47
Alabama,1,De Kalb,49
Alabama,1,Elmore,51
Alabama,1,Escambia,53
Alabama,1,Etowah,55
Alabama,1,Fayette,57
Alabama,1,Franklin,59
Alabama,1,Geneva,61
Alabama,1,Greene,63
Alabama,1,Hale,65
Alabama,1,Henry,67
Alabama,1,Houston,69
Alabama,1,Jackson,71
Alabama,1,Jefferson,73
Alabama,1,Lamar,75
Alabama,1,Lauderdale,77
Alabama,1,Lawrence,79
Alabama,1,Lee,81
Alabama,1,Limestone,83
Alabama,1,Lowndes,85
Alabama,1,Macon,87
Alabama,1,Madison,89
Alabama,1,Marengo,91
Alabama,1,Marion,93
Alabama,1,Marshall,95
Alabama,1,Mobile,97
Alabama,1,Monroe,99
Alabama,1,Montgomery,101
Alabama,1,Morgan,103
Alabama,1,Perry,105
Alabama,1,Pickens,107
Alabama,1,Pike,109
Alabama,1,Randolph,111
Alabama,1,Russell,113
Alabama,1,St Clair,115
Alabama,1,Shelby,117
Alabama,1,Sumter,119
Alabama,1,Talladega,121
Alabama,1,Tallapoosa,123
Alabama,1,Tuscaloosa,125
Alabama,1,Walker,127
Alabama,1,Washington,129
Alabama,1,Wilcox,131
Alabama,1,Winston,133
Alaska,50,Aleutians East,13
Alaska,50,Aleutians West,16
Alaska,50,Anchorage,20
Alaska,50,Bethel,50
Alaska,50,Bristol Bay,60
Alaska,50,Denali,68
Alaska,50,Dillingham,70
Alaska,50,Fairbanks North Star,90
Alaska,50,Haines,100
Alaska,50,Juneau,110
Alaska,50,Kenai Peninsula,122
Alaska,50,Ketchikan Gateway,130
Alaska,50,Kodiak Island,150
Alaska,50,Lake and Peninsula,164
Alaska,50,Matanuska Susitna,170
Alaska,50,Nome,180
Alaska,50,North Slope,185
Alaska,50,Northwest Arctic,188
Alaska,50,Prince Wales Ketchikan,201
Alaska,50,Sitka,220
Alaska,50,Skagway Hoonah Angoon,232
Alaska,50,Southeast Fairbanks,240
Alaska,50,Valdez Cordova,261
Alaska,50,Wade Hampton,270
Alaska,50,Wrangell Petersburg,280
Alaska,50,Yakutat,282
Alaska,50,Yukon Koyukuk,290
Arizona,2,Apache,1
Arizona,2,Cochise,3
Arizona,2,Coconino,5
Arizona,2,Gila,7
Arizona,2,Graham,9
Arizona,2,Greenlee,11
Arizona,2,La Paz,12
Arizona,2,Maricopa,13
Arizona,2,Mohave,15
Arizona,2,Navajo,17
Arizona,2,Pima,19
Arizona,2,Pinal,21
Arizona,2,Santa Cruz,23
Arizona,2,Yavapai,25
Arizona,2,Yuma,27
Arkansas,3,Arkansas,1
Arkansas,3,Ashley,3
Arkansas,3,Baxter,5
Arkansas,3,Benton,7
Arkansas,3,Boone,9
Arkansas,3,Bradley,11
Arkansas,3,Calhoun,13
Arkansas,3,Carroll,15
Arkansas,3,Chicot,17
Arkansas,3,Clark,19
Arkansas,3,Clay,21
Arkansas,3,Cleburne,23
Arkansas,3,Cleveland,25
Arkansas,3,Columbia,27
Arkansas,3,Conway,29
Arkansas,3,Craighead,31
Arkansas,3,Crawford,33
Arkansas,3,Crittenden,35
Arkansas,3,Cross,37
Arkansas,3,Dallas,39
Arkansas,3,Desha,41
Arkansas,3,Drew,43
Arkansas,3,Faulkner,45
Arkansas,3,Franklin,47
Arkansas,3,Fulton,49
Arkansas,3,Garland,51
Arkansas,3,Grant,53
Arkansas,3,Greene,55
Arkansas,3,Hempstead,57
Arkansas,3,Hot Spring,59
Arkansas,3,Howard,61
Arkansas,3,Independence,63
Arkansas,3,Izard,65
Arkansas,3,Jackson,67
Arkansas,3,Jefferson,69
Arkansas,3,Johnson,71
Arkansas,3,Lafayette,73
Arkansas,3,Lawrence,75
Arkansas,3,Lee,77
Arkansas,3,Lincoln,79
Arkansas,3,Little River,81
Arkansas,3,Logan,83
Arkansas,3,Lonoke,85
Arkansas,3,Madison,87
Arkansas,3,Marion,89
Arkansas,3,Miller,91
Arkansas,3,Mississippi,93
Arkansas,3,Monroe,95
Arkansas,3,Nevada,99
Arkansas,3,Newton,101
Arkansas,3,Ouachita,103
Arkansas,3,Perry,105
Arkansas,3,Phillips,107
Arkansas,3,Pike,109
Arkansas,3,Poinsett,111
Arkansas,3,Polk,113
Arkansas,3,Pope,115
Arkansas,3,Prairie,117
Arkansas,3,Pulaski,119
Arkansas,3,Randolph,121
Arkansas,3,St Francis,123
Arkansas,3,Saline,125
Arkansas,3,Scott,127
Arkansas,3,Searcy,129
Arkansas,3,Sebastian,131
Arkansas,3,Sevier,133
Arkansas,3,Sharp,135
Arkansas,3,Stone,137
Arkansas,3,Union,139
Arkansas,3,Van Buren,141
Arkansas,3,Washington,143
Arkansas,3,White,145
Arkansas,3,Woodruff,147
Arkansas,3,Yell,149
California,4,Alameda,1
California,4,Alpine,3
California,4,Amador,5
California,4,Butte,7
California,4,Calaveras,9
California,4,Colusa,11
California,4,Contra Costa,13
California,4,Del Norte,15
California,4,El Dorado,17
California,4,Fresno,19
California,4,Glenn,21
California,4,Humboldt,23
California,4,Imperial,25
California,4,Inyo,27
California,4,Kern,29
California,4,Kings,31
California,4,Lake,33
California,4,Lassen,35
California,4,Los Angeles,37
California,4,Madera,39
California,4,Marin,41
California,4,Mariposa,43
California,4,Mendocino,45
California,4,Merced,47
California,4,Modoc,49
California,4,Mono,51
California,4,Monterey,53
California,4,Napa,55
California,4,Nevada,57
California,4,Orange,59
California,4,Placer,61
California,4,Plumas,63
California,4,Riverside,65
California,4,Sacramento,67
California,4,San Benito,69
California,4,San Bernardino,71
California,4,San Diego,73
California,4,San Francisco,75
California,4,San Joaquin,77
California,4,San Luis Obispo,79
California,4,San Mateo,81
California,4,Santa Barbara,83
California,4,Santa Clara,85
California,4,Santa Cruz,87
California,4,Shasta,89
California,4,Sierra,91
California,4,Siskiyou,93
California,4,Solano,95
California,4,Sonoma,97
California,4,Stanislaus,99
California,4,Sutter,101
California,4,Tehama,103
California,4,Trinity,105
California,4,Tulare,107
California,4,Tuolumne,109
California,4,Ventura,111
California,4,Yolo,113
California,4,Yuba,115
Colorado,5,Adams,1
Colorado,5,Alamosa,3
Colorado,5,Arapahoe,5
Colorado,5,Archuleta,7
Colorado,5,Baca,9
Colorado,5,Bent,11
Colorado,5,Boulder,13
Colorado,5,Broomfield,14
Colorado,5,Chaffee,15
Colorado,5,Cheyenne,17
Colorado,5,Clear Creek,19
Colorado,5,Conejos,21
Colorado,5,Costilla,23
Colorado,5,Crowley,25
Colorado,5,Custer,27
Colorado,5,Delta,29
Colorado,5,Denver,31
Colorado,5,Dolores,33
Colorado,5,Douglas,35
Colorado,5,Eagle,37
Colorado,5,Elbert,39
Colorado,5,El Paso,41
Colorado,5,Fremont,43
Colorado,5,Garfield,45
Colorado,5,Gilpin,47
Colorado,5,Grand,49
Colorado,5,Gunnison,51
Colorado,5,Hinsdale,53
Colorado,5,Huerfano,55
Colorado,5,Jackson,57
Colorado,5,Jefferson,59
Colorado,5,Kiowa,61
Colorado,5,Kit Carson,63
Colorado,5,Lake,65
Colorado,5,La Plata,67
Colorado,5,Larimer,69
Colorado,5,Las Animas,71
Colorado,5,Lincoln,73
Colorado,5,Logan,75
Colorado,5,Mesa,77
Colorado,5,Mineral,79
Colorado,5,Moffat,81
Colorado,5,Montezuma,83
Colorado,5,Montrose,85
Colorado,5,Morgan,87
Colorado,5,Otero,89
Colorado,5,Ouray,91
Colorado,5,Park,93
Colorado,5,Phillips,95
Colorado,5,Pitkin,97
Colorado,5,Prowers,99
Colorado,5,Pueblo,101
Colorado,5,Rio Blanco,103
Colorado,5,Rio Grande,105
Colorado,5,Routt,107
Colorado,5,Saguache,109
Colorado,5,San Juan,111
Colorado,5,San Miguel,113
Colorado,5,Sedgwick,115
Colorado,5,Summit,117
Colorado,5,Teller,119
Colorado,5,Washington,121
Colorado,5,Weld,123
Colorado,5,Yuma,125
Connecticut,6,Fairfield,1
Connecticut,6,Hartford,3
Connecticut,6,Litchfield,5
Connecticut,6,Middlesex,7
Connecticut,6,New Haven,9
Connecticut,6,New London,11
Connecticut,6,Tolland,13
Connecticut,6,Windham,15
Delaware,7,Kent,1
Delaware,7,New Castle,3
Delaware,7,Sussex,5
Florida,8,Alachua,1
Florida,8,Baker,3
Florida,8,Bay,5
Florida,8,Bradford,7
Florida,8,Brevard,9
Florida,8,Broward,11
Florida,8,Calhoun,13
Florida,8,Charlotte,15
Florida,8,Citrus,17
Florida,8,Clay,19
Florida,8,Collier,21
Florida,8,Columbia,23
Florida,8,De Soto,27
Florida,8,Dixie,29
Florida,8,Duval,31
Florida,8,Escambia,33
Florida,8,Flagler,35
Florida,8,Franklin,37
Florida,8,Gadsden,39
Florida,8,Gilchrist,41
Florida,8,Glades,43
Florida,8,Gulf,45
Florida,8,Hamilton,47
Florida,8,Hardee,49
Florida,8,Hendry,51
Florida,8,Hernando,53
Florida,8,Highlands,55
Florida,8,Hillsborough,57
Florida,8,Holmes,59
Florida,8,Indian River,61
Florida,8,Jackson,63
Florida,8,Jefferson,65
Florida,8,Lafayette,67
Florida,8,Lake,69
Florida,8,Lee,71
Florida,8,Leon,73
Florida,8,Levy,75
Florida,8,Liberty,77
Florida,8,Madison,79
Florida,8,Manatee,81
Florida,8,Marion,83
Florida,8,Martin,85
Florida,8,Miami-Dade,86
Florida,8,Monroe,87
Florida,8,Nassau,89
Florida,8,Okaloosa,91
Florida,8,Okeechobee,93
Florida,8,Orange,95
Florida,8,Osceola,97
Florida,8,Palm Beach,99
Florida,8,Pasco,101
Florida,8,Pinellas,103
Florida,8,Polk,105
Florida,8,Putnam,107
Florida,8,St Johns,109
Florida,8,St Lucie,111
Florida,8,Santa Rosa,113
Florida,8,Sarasota,115
Florida,8,Seminole,117
Florida,8,Sumter,119
Florida,8,Suwannee,121
Florida,8,Taylor,123
Florida,8,Union,125
Florida,8,Volusia,127
Florida,8,Wakulla,129
Florida,8,Walton,131
Florida,8,Washington,133
Georgia,9,Appling,1
Georgia,9,Atkinson,3
Georgia,9,Bacon,5
Georgia,9,Baker,7
Georgia,9,Baldwin,9
Georgia,9,Banks,11
Georgia,9,Barrow,13
Georgia,9,Bartow,15
Georgia,9,Ben Hill,17
Georgia,9,Berrien,19
Georgia,9,Bibb,21
Georgia,9,Bleckley,23
Georgia,9,Brantley,25
Georgia,9,Brooks,27
Georgia,9,Bryan,29
Georgia,9,Bulloch,31
Georgia,9,Burke,33
Georgia,9,Butts,35
Georgia,9,Calhoun,37
Georgia,9,Camden,39
Georgia,9,Candler,43
Georgia,9,Carroll,45
Georgia,9,Catoosa,47
Georgia,9,Charlton,49
Georgia,9,Chatham,51
Georgia,9,Chattahoochee,53
Georgia,9,Chattooga,55
Georgia,9,Cherokee,57
